Sr. No.,Name of NPO,Registration No,Registration Type,Address,Primary Sectors,Operational District,Email,Website
312,ELEN EDUCATION TRUST,631/2000-2001,Trust,"12 Balaji Layout, Marathahalli , Bengaluru, BENGALURU URBAN (Karnataka) - 560037","Agriculture, Animal Husbandry, Dairying & Fisheries, Biotechnology, Civic Issues, Differently Abled",ALL,eleneducationtrust@gmail.com,
313,ELIZABETH INTEGRATED DEVLOPMENT CHARITIABLE TRUST,IV-118/08-09,Trust,"No.87, Beerappa Road, Kammannahalli Bangalore-560 033. , Banagalore, BENGALURU URBAN (Karnataka) - 560033","Children, Dalit Upliftment, Differently Abled, Education & Literacy, Environment & Forests",ALL,trustelizabeth@gmail.com,http://www.elizabethtrust.com/
314,ELOHIM GLOBAL TRUST,DSP-4-00070-2016-17,Trust,"#486, Siddhartha Nagar Peenya Plantation, Jalahalli West, Bangalore Kamataka 560015 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560013","Differently Abled, Aged/Elderly, Vocational Training, Skill Development, Religious",BENGALURU URBAN,ranjit.pillai@outlook.com,
315,ELSHADAI SHELTER,INR-4-01014-2014-15,Trust,"No. 1557, 13th Main, 1st Cross, HAL 3rd Stage, Bangalore - 560008 , Bengaluru East, BENGALURU URBAN (Karnataka) - 560008","Children, Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare",BENGALURU URBAN,immanuelernest116@gmail.com,
316,ELSON SEVA TRUST,BGR-4-00040-2013-14,Trust,"NO.403, VITTASANDRA ROAD, BEGUR, BANGALORE560068. , BANGALORE, BENGALURU URBAN (Karnataka) - 560068","Children, Civic Issues, Differently Abled, Education & Literacy, Aged/Elderly",ALL,shantha191163@gmail.com,
317,EMMANUEL STHUTHI WELFARE MISSION TRUST,INR-4-00881-2021-22,Trust,"NO 10 1 2ND FLOOR FRONT PROTON ASHIRWAD 20TH CROSS M V NAGAR T C PALAYA MAIN ROAD RAMAMUTHY NAGAR BANGALORE , BANGALORE, BENGALURU URBAN (Karnataka) - 560016","Children, Dalit Upliftment, Differently Abled, Women's Development & Empowerment, Youth Affairs",ALL,emmanuelsthuthiwelfare.bj@gmail.com,
318,EMPOWERING UMMAH FOUNDATION,JAY-4-00151-2013-14,Trust,"388, 1st Floor, 7th Cross, Jayanagar 1st Block, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560011","Children, Differently Abled, Education & Literacy, Health & Family Welfare, Labour & Employment",ALL,mohammed.zabeeulla@gmail.com,
319,EnAble India,394/1999-2000,Trust,"Survey No. 9, Purva Gainz, 2nd Floor, Bertana Agrahara, Lavakusha Nagar, Hosur Main Road , Bengaluru South, BENGALURU URBAN (Karnataka) - 560100","Differently Abled, Labour & Employment, Vocational Training",ALL,accounts@enableindia.org,http://www.enableindia.org/
320,ENERFRA UNNATI FOUNDATION,89/18-19,Trust,"No.7/113, Raj Classic, 2nd Floor, Dr. Raj Kumar Road, 1st Block, Rajaji Nagar, Bengaluru - 560010 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560010","Art & Culture, Education & Literacy, Environment & Forests, Health & Family Welfare, New & Renewable Energy",ALL,v.suresh@enerfra.com,
321,EQPD INDIA FOUNDATION,BK-IV-452/24-25,Trust,"140, Commerce Cube, 2nd A floor, 5th Main, Puttannachetty Road, Chamarajpet , Bangalore, BENGALURU URBAN (Karnataka) - 560018","Differently Abled, Sports",ALL,bincy@eqpdindia.org,
322,Equal Sky,MDP-4-00176-2016-17,Trust,"#12108, Prestige Shantiniketan, ITPL Main Road, Whitefield , Bengaluru North, BENGALURU URBAN (Karnataka) - 560048",Education & Literacy,BENGALURU URBAN,akanksha.konkar.shah@gmail.com,
323,ESSENCE,BK IV 699/2024-25,Trust,"No 143/4/4, Opposite BDA Flats, Phase-2, Gunjur Belegere Road, , Gunjur, BENGALURU URBAN (Karnataka) - 560087","Children, Differently Abled",ALL,abid4000@gmail.com,
324,ESTAH SOCIETY,IN-KA354100815108250,Trust,"31/32 JYOTHI NILAYA, HULIMANGALA, NEAR IHMRB CILLEGE , BENGULURU, BENGALURU URBAN (Karnataka) - 560100","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,estahsociety@gmail.com,http://estah.org/
325,ETERNAL LIFE SOCIO WELFARE CHARITABLE TRUST,INR-4-00114-2022-23,Trust,"NO 51 URBAN GREENS VILLA SARJAPURA BAGALUR ROAD SARJAPURA ANEKAL TALUK BANGALORE , BANGALORE, BENGALURU URBAN (Karnataka) - 562125","Children, Dalit Upliftment, Differently Abled, Women's Development & Empowerment, Youth Affairs",ALL,eternallifescharitabletrust.bj@gmail.com,
326,Ethnus Foundation,BNG(U)JNR886/2019-20/BKIV,Trust,"No.151/17/1, SST Chambers, First Floor, 36th Cross Road, Jayanagar 5th Block , Bengaluru, BENGALURU URBAN (Karnataka) - 560041","Differently Abled, Education & Literacy, Information & Communication Technology, Labour & Employment, Vocational Training",ALL,admin@ethnusfoundation.org,https://ethnusfoundation.org/
327,Evangelical Fellowship of India,HLS-4-00122-2008-09,Trust,"Evangelical Fellowship of India, office at No. 17/4, Vivekananda Link Road, Jaibharath Nagar, Bangalore 560033 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560033","Children, Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare",BENGALURU URBAN,efi2008.jm@gmail.com,
328,FALCON CARE FOUNDATION TRUST,BKIV494/2015-16,Trust,"32/8, SPENCER ROAD, FRAZER TOWN, BENGALURU , Bengaluru East, BENGALURU URBAN (Karnataka) - 560005","Children, Education & Literacy, Health & Family Welfare, Minority Issues, Skill Development",BENGALURU URBAN,rogerblr@gmail.com,
329,FAMESWAVALAMBANA,JAY-4-00032-2016-17,Trust,"156,36TH CROSS, 2ND MAIN, 7TH BLOCK JAYANAGAR , BANGALORE, BENGALURU URBAN (Karnataka) - 560082",Differently Abled,ALL,info@fameindia.org,
330,FAMIN EDUCATIONAL AND SOCIAL WELFARE TRUST,BKIV706IV,Section 8 Company,"13, 2-A CROSS, KNSS COLONY, BRINDAVAN AVENUE, HORAMAVU JAYANTHI NAGAR , Bengaluru North, BENGALURU URBAN (Karnataka) - 560043","Children, Education & Literacy, Health & Family Welfare, Urban Development & Poverty Alleviation, Skill Development",BENGALURU URBAN,famininfo@gmail.com,
331,FARM HILL EDUCATION TRUST,BNG(U)JNR 794/2018-2019,Trust,"No 296, 7th Main, 7th Cross, BTM 2nd Stage, Mico Layout, Bannerghatta Road S.O, Bangalore South, Karnataka , Bannerghatta Bangalore, BENGALURU URBAN (Karnataka) - 560076","Differently Abled, Education & Literacy",ALL,venu.gvgk@gmail.com,
332,FARSUN EDUCATIONAL AND WELFARE CHARITABLE TRUST,SHV-4-00857-2024-25,Trust,"56/6 SHOP NO. 1 , KARNATAKA, BENGALURU URBAN (Karnataka) - 560066","Children, Civic Issues, Dalit Upliftment, Differently Abled, Education & Literacy",ALL,mdumarfarooqali963@gmail.com,
333,FATHIMA HANDICAP WELFARE TRUST,SHR-4-00207-2013-14,Trust,"36, 1st cross, 8th main road B.T.M Layout 1st stage , Bangalore, BENGALURU URBAN (Karnataka) - 560029","Children, Differently Abled, Aged/Elderly, Health & Family Welfare, Minority Issues",ALL,majid.abdul22@gmail.com,http://fathimawelfare.com/
334,FAWN FOUNDATION,RJN-4-00549-2024-25,Trust,"Fawn Foundation, c/o Ashok Hospital, No-65, NHCS Layout, 3rd Stage, 4th Block, Basaveshwar Nagar, Bangalore-560079 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560079","Children, Education & Literacy, Health & Family Welfare, Information & Communication Technology, Skill Development",BENGALURU URBAN,fawnfdn@gmail.com,https://thefawnfoundation.com/
335,Fazal E Rahman Charitable Trust,INR-4-00020-2025-26,Trust,"C-204, C1 Block, Jain Heights East Parade, L Narayana Reddy Main Road, Vignan Nagar, Bangalore - 37 , Bengaluru East, BENGALURU URBAN (Karnataka) - 560037","Children, Differently Abled, Education & Literacy, Aged/Elderly, Environment & Forests",BENGALURU URBAN,sabiahj1@gmail.com,
336,FAZAL E RAHMAN CHARITIES FOUNDATION,U85300KA2020NPL134713,Section 8 Company,"C 204 JAIN HEIGHTS EAST PARADE L NARAYANA REDDY MAIN ROAD VIGNAN NAGAR BANGALORE 560037 , Bangalore, BENGALURU URBAN (Karnataka) - 560037","Children, Civic Issues, Dalit Upliftment, Differently Abled, Education & Literacy",ALL,kfjanvekar@yahoo.co.in,
337,FEED THE HUNGER SEVA SANGHA,ANK-4-00325-25,Trust,"Sarjapura Village,Sarjapura Post, Bengaluru , Anekal, BENGALURU URBAN (Karnataka) - 562125","Art & Culture, Children, Differently Abled, Education & Literacy, Health & Family Welfare",BENGALURU URBAN,kumar39107k@gmail.com,
338,FELLOWSHIP WITH MENTALLY RETARDED INDIA,S.13/70.71,Society,"FMR INDIA, ASHA NIKETAN, NO7,20TH MAIN,6TH BLOCK, KORAMANGALA, BANGALORE-560 095 , Bangalore, BENGALURU URBAN (Karnataka) - 560095",Differently Abled,ALL,ashaniketank@gmail.com,http://www.larchefmrindia.org/
339,FIND YOUR VOICE FOUNDATION,U85499KA2025NPL205380,Section 8 Company,"C/O VARADARJAN T, 248, 11, VIDHANA SOUDHA LYT, Nagarbhavi, Bangalore North, Bangalore- 560072, Karnataka , Bengaluru North, BENGALURU URBAN (Karnataka) - 560072","Children, Education & Literacy, Youth Affairs",BENGALURU URBAN,fyvfoundation@gmail.com,https://findyourvoiceindia.com/
340,FLIPKART FOUNDATION,U85300KA2021NPL149875,Section 8 Company,"Block ABC, Building Alyssa, Begonia , Bangalore, BENGALURU URBAN (Karnataka) - 560103","Art & Culture, Differently Abled, Disaster Management, Drinking Water, Education & Literacy",ALL,puja.trisal@flipkart.com,https://www.flipkartfoundation.org/
341,FLORANCE TRUST,244/25-26,Trust,"#132,Ground floor prince layout,Near Nanjundeshwara Badavane,Magadi nice road Bengaluru,karnataka-560091 , Bengaluru North, BENGALURU URBAN (Karnataka) - 560091","Differently Abled, Aged/Elderly",BENGALURU URBAN,florancehealthcareservices@gmail.com,
342,Foundation for Action Motivation and Empowerment FAME India,510/2000-01,Trust,"Foundation for Action, Motivation and Empowerment (F.A.M. E. India) No. 156, 36th Cross, 2nd Main, Jayanagar 7th Block, Bangalore, Karnataka 560082 , Bangalore, BENGALURU URBAN (Karnataka) - 560082","Children, Differently Abled, Education & Literacy",ALL,info@fameindia.org,http://www.fameindia.org/
343,FOUNDATION FOR COMMONS,BNG(U)-JNR -437-2024-25,Trust,"New No.2, Old No.454, 39th B Cross, Jayanagar 5th Block, Bengaluru, Karnataka- 560041 , Bengaluru, BENGALURU URBAN (Karnataka) - 560041","Children, Dalit Upliftment, Differently Abled, Drinking Water, Education & Literacy",ALL,admin@ffco.in,http://www.ffco.in/
344,FREEDOM FOUNDATION,E 1143/9293,Trust,"No. 39, Property No. 31/2, Rampura Cross , Bangalore, BENGALURU URBAN (Karnataka) - 560077","Children, Differently Abled, Education & Literacy, HIV/AIDS",ALL,ashokrau@hotmail.com,https://thefreedomfoundation.org/
345,FREEDOM WINGS FOUNDATION,U88900KA2024NPL196371,Section 8 Company,"6, 9th cross, 10th main, Hennur cross, HBR layout, Horamavu, Banglore north, – 560043 , karnataka , Banglore, BENGALURU URBAN (Karnataka) - 560043",Differently Abled,ALL,Elizabeth.freedomwings@gmail.com,
346,Freudenberg Tsunami Victims Rehabilitation Foundation,No.DIT(E)/12A/AAATF1953H/F-286,Trust,"3rd Floor, Silver Jubilee Block, 3rd Cross, Mission Road , Bangalore, BENGALURU URBAN (Karnataka) - 560027",Differently Abled,ALL,vishal.almal@in.klueber.com,
347,FRIENDS FOR INCLUSION,BKIV150/2017-2018,Trust,"1001, 25 Main Road, 9 Cross road, HSR Layout, Sector 1, Bengaluru, Karnataka 560102. , Bangalore, BENGALURU URBAN (Karnataka) - 560102",Differently Abled,ALL,ankitrajivjindal@gmail.com,https://friendsforinclusion.org/
348,FRIENDS OF CAMPHILL INDIA,1018/9293,Trust,"Bannerghatta road 19th km Arya Jnana Seva Trust Compound , Bangalore, BENGALURU URBAN (Karnataka) - 560083",Differently Abled,ALL,campindia@hotmail.com,http://friendsofcamphillindia.in/
349,FSL INDIA,SHV-4-00938-2004-05,Trust,"FSL- India, No.453, 1st Floor, 15th Cross, Lakkasandra, Wilson Garden, Bangalore -560030 Karnataka India , Bangalore, BENGALURU URBAN (Karnataka) - 560030","Agriculture, Art & Culture, Children, Differently Abled, Disaster Management",ALL,rohan@fsl-india.org,http://www.fsl-india.org/
350,FULL GOSPEL TABERNACLE OF GOD,BNS-4-00847-2020-21,Trust,"7 BY 123, 6TH CROSS OLD POST OFFICE ROAD LINGARAJAPURAM BANGALORE , BANGALORE, BENGALURU URBAN (Karnataka) - 560084","Children, Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare",ALL,ravidaniel2001@yahoo.co.in,https://ghimt.in/ministries/
351,FYDOFRIDUM FOUNDATION,178251,Section 8 Company,"HOUSE NO B26, 1ST FLOORANUGRAHA L/O, KODIGEHALLI, Hoodi, Bangalore, Bangalore North, Karnataka, India, 560048 , Bangalore, BENGALURU URBAN (Karnataka) - 560048","Agriculture, Animal Husbandry, Dairying & Fisheries, Children, Differently Abled, Education & Literacy",ALL,Utpalrockstar@gmail.com,
352,GADI KRISHNAMURTHY PUSHPAVALLI THAYARAMMA CHARITABLE TRUST,BNG(U)JNR498/2012-2013/BKIV,Trust,"No 6104, 10th Main, 3rd Block, Jayanagar, Bangalore - 560011 , Bangalore, BENGALURU URBAN (Karnataka) - 560011","Differently Abled, Education & Literacy, Health & Family Welfare",ALL,gadimanoj14@gmail.com,
353,GANAKAL MESTRU FOUNDATION,329/2024-25,Trust,"No1203 , 8th Cross 1st Stage 2nd Phase, Chandra Lay Out S.O, Bangalore North, BANGALORE, 560040, Karnataka, INDIA , Bengaluru North, BENGALURU URBAN (Karnataka) - 560040","Art & Culture, Differently Abled, Education & Literacy, Environment & Forests, Skill Development",BENGALURU URBAN,shree.gns@gmail.com,
354,GARDEN CITY MINISTRIES,BNS-4-00531-2010-11,Trust,"No. 206, 1st Floor, Shri Nanjundeswara Complex, HBR Layout, 2nd Block, Banaswadi , Bengaluru North, BENGALURU URBAN (Karnataka) - 560043","Children, Aged/Elderly, Youth Affairs, Religious",BENGALURU URBAN,JITHINMJ@hotmail.com,
355,Gather Life for paraplegics,BNS-4-00201-2019-20,Trust,"G2,Omkar Sri Ram Apartment, Near Anjenaya Temple Street, Dodda Banasawadi, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560043","Children, Civic Issues, Differently Abled, Disaster Management, Education & Literacy",ALL,gatherlifeparaplegics@gmail.com,https://www.gatherlifeparaplegics.org/
356,GAU GOVIND SEVA TRUST,ABL-4-00189-2022-23,Trust,"NO S1,WHITE ORCHID,14TH CROSS,ANANTHA NAGAR PHASE 2,ELECTRONIC CITY PHASE 2,BANGALORE-560100 , Bengaluru East, BENGALURU URBAN (Karnataka) - 560100","Children, Civic Issues, Education & Literacy, Aged/Elderly, Women's Development & Empowerment",ALL,gaugovindseva@gmail.com,
357,GHARA TRUST,IV 229/10-11,Trust,"Ghara Trust, Asissi Special School, TC Palya, Battarahalli, Bangalore , Bengaluru North, BENGALURU URBAN (Karnataka) - 560049","Civic Issues, Differently Abled, Health & Family Welfare, Vocational Training",BENGALURU URBAN,rfd1956@gmail.com,
358,GIFT OF HELP,0112/G,Trust,"No.1059, First Floor, 22nd Cross, 5thA Main, HSR Layout 3rd Sector, Bangalore560102 , Bangalore, BENGALURU URBAN (Karnataka) - 560102","Children, Differently Abled, Aged/Elderly",ALL,Stulasi@gmail.com,
359,GiftAbled Foundation,ITO(E)-1/2014-15,Trust,"PR 406 Golden Blossom, Kadugodi, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560067",Differently Abled,ALL,info@giftabled.org,http://www.giftabled.org/
360,GILGAL CHARITABLE WELFARE MISSION,HLS-4-00327-2021-22,Trust,"42 3RD MAIN 6TH CROSS SUBRAMANI COLONY HEBBAL GUDDADHAHALLI ROAD RT NAGAR BANGALORE KARNATAKA , BANAGALORE, BENGALURU URBAN (Karnataka) - 560032","Children, Dalit Upliftment, Differently Abled, Aged/Elderly, Women's Development & Empowerment",ALL,gilgalcharitablewelfare.bj@gmail.com,
361,GIRIDHARI GOPAL EDUCATIONAL TRUST,475 OF 2022-23,Trust,"FLAT NO 2093, SOBHA CLOVELLY, OPPOSITE TO KFC, NO. 1, SUBRAMANYAPURA ROAD, GOWDANAPALYA, UTTARAHALLI HOBLI, BENGALURU-560061 , BENGALURU, BENGALURU URBAN (Karnataka) - 560061","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,giridharigopaleducational@yahoo.com,
362,GLOBAL ASSOCIATION OF CHURCHES,374/2024-25,Trust,"No 64/6 th Crosd Sadha Shiva Road R .s. Palya Kammanahalli , Bangalore, BENGALURU URBAN (Karnataka) - 560033","Agriculture, Art & Culture, Children, Civic Issues, Differently Abled",ALL,theglobalchurches@gmail.com,https://theglobalchurches.com/
363,GLOBAL ORGANISATION FOR RARE DISEASES FOUNDATION,U72100KA2025NPL200936,Section 8 Company,"No.89, Ashthagrama layout, 2nd stage, Magadi Main Rd, Basaveshwaranagar , Bengaluru North, BENGALURU URBAN (Karnataka) - 560079",Health & Family Welfare,BENGALURU URBAN,srivathsa.rare@gmail.com,
364,GLORIOUS GRACE MINISTRIES,HLS-4-00292-2021-22,Trust,"NO 46 BYRASANDRA C V RAMAN NAGARBANGALORE , BANAGALORE, BENGALURU URBAN (Karnataka) - 560093","Children, Dalit Upliftment, Differently Abled, Aged/Elderly, Women's Development & Empowerment",ALL,gloriousgraceministries.bj@gmail.com,
365,GLORY FOUNDATION,62/2002-03,Trust,"NO. 29, 3rd CROSS, MYLARA GARDEN, CHIKKA GUBBI VILLAGE, KANOOR PANCHAYAT, DODDA GUBBI POST, BANGALORE- 560077 , BANGALORE, BENGALURU URBAN (Karnataka) - 560077",Differently Abled,ALL,adassglory@gmail.com,http://glory-foundation.org/en/
366,GNR FOUNDATION,BKIV-99/22-23,Trust,"No. 1, Royal Street, Next to TJN Office, Abbigere , Bengaluru North, BENGALURU URBAN (Karnataka) - 560090","Biotechnology, Children, Differently Abled, Disaster Management, Aged/Elderly",BENGALURU URBAN,gnr.trust.blr@gmail.com,
367,GOD'S SPECIAL CHILDREN FOUNDATION,SRI-4-00033-2019-20,Trust,"No:19/6, 8th Main, Between 9th and 11th Cross,Vinayaka Layout, Malleswarm, Bangalore , Bangalore, BENGALURU URBAN (Karnataka) - 560003",Differently Abled,ALL,srinath@gscf.in,https://gscf.in/contacts/
368,gods gift charitable trust,BKIV384/25-26,Trust,"Yelahanka New Town, Bangalore , Yelahanka, BENGALURU URBAN (Karnataka) - 580084","Agriculture, Civic Issues, Differently Abled, Aged/Elderly, Food Processing",BENGALURU URBAN,godsgiftcharitabletrust@gmail.com,
369,GOENKA FOUNDATIONS,VOL BI /G 177/95/CIT-11,Trust,"RAMASHREE CHAMBERS, 37, LADY CURZON ROAD SHIVAJI NAGAR. BANGALORE 560001 , Bengaluru East, BENGALURU URBAN (Karnataka) - 560001","Differently Abled, Education & Literacy, Aged/Elderly, Health & Family Welfare, Rural Development & Poverty Alleviation",BENGALURU URBAN,VKGDRAPES@GMAIL.COM,
370,GOLGOTHA MISSION,IV 304 2022-23,Trust,"104 white petals apartment BDS Nagar R K hedge nagar balaji krupa layout kothanur post , Bangalore, BENGALURU URBAN (Karnataka) - 560077","Children, Differently Abled, Education & Literacy, Aged/Elderly, Labour & Employment",ALL,kvijaikar@yahoo.com,https://www.golgothamission.com/
371,Good Day Trust(R),KNGR/391/2025-26,Trust,"bangalore , Yelahanka, BENGALURU URBAN (Karnataka) - 560058","Aged/Elderly, Vocational Training, Youth Affairs",ALL,gooddaytrust6@gmail.com,
372,GOOD SAMARITAN CHARITABLE TRUST,649/96-97,Trust,"S23, Lewis Glorious Apartment A2, 1st Cross, Doddagubbi Main Road , Bengaluru North, BENGALURU URBAN (Karnataka) - 560077",Rural Development & Poverty Alleviation,ALL,gsct.trust@gmail.com,
373,GOOD SHEPHEARD FOUNDATION,SOR/RJR/S-606/2015-16,Society,"846, SLV YELEMANE, 3013RD FLOOR, 19THCross, 2nd Main, 5Th Block, HMT LAYOUT, VIDIYARANYAPURA, BANGALORE, KARNATAKA – 560097 , Bangalore, BENGALURU URBAN (Karnataka) - 560097","Agriculture, Animal Husbandry, Dairying & Fisheries, Art & Culture, Biotechnology, Children",ALL,ngogsf495@gmail.com,
374,Gopalakrishnan Foundation For The Deaf,BKIV269/2019-20,Trust,"No:112, ARR Enclave, Sai Baba Temple Road, Munnekolala, Marathahalli , Bangalore, BENGALURU URBAN (Karnataka) - 560037","Differently Abled, Education & Literacy",ALL,info.signskool@gmail.com,
375,GRACE CHARITABLE TRUST,VRT-4-00138-2008-09,Trust,"AMBEDKAR NAGAR CARMELARAM POST SARJAPUR MAIN ROAD BANGALORE , BANGALORE, BENGALURU URBAN (Karnataka) - 560035","Children, Civic Issues, Differently Abled",ALL,grace@shprocons.com,
376,GRACE HOLD YESHUA WELFARE TRUST,INR-4-01081-2021-22,Trust,"NO 40 OLD NO 630 BHARATHI NILAYA SIDDHARTHA NAGAR JALAHALLI WEST BANGALORE , BANGALORE, BENGALURU URBAN (Karnataka) - 560015","Children, Dalit Upliftment, Differently Abled, Women's Development & Empowerment, Youth Affairs",ALL,graceholdyeshuawelfare.bj@gmail.com,
377,GRACE REFORMED TRUST,BK IV 70 14-15,Trust,"No.22, L N Reddy Garden. Kariyanapalya , , Bangalore, BENGALURU URBAN (Karnataka) - 560084","Children, Differently Abled",ALL,murali.ameresan@gmail.com,
378,Gratiam India Foundation,U88900KA2025NPL199800,Section 8 Company,"311, RK Hoysala Residency, 9th cross 3rd main road, Ramamurthy Nagar, Bangalore North, Bangalore- , Karnataka , Bengaluru North, BENGALURU URBAN (Karnataka) - 560016","Education & Literacy, Aged/Elderly",ALL,suhridc@gmail.com,
